Name of Organisation,Eng. Name,Eng. Address,Tel. No,Fax. No,Type of Service,Age of Child,Full Day Creche Approved Monthly Fee,Full Day Nursery Approved Monthly Fee,Half Day Nursery Approved Monthly Fee,AM Session Nursery Approved Monthly Fee,PM Session Nursery Approved Monthly Fee,Type of Half Day Nursery,Remarks,Full Day Creche Capacity,Full Day Nursery Capacity,Half Day Nursery Capacity,District
Victoria Kindergarten Holdings Limited,Victoria (South Horizons) International Nursery,"East Wing, Podium Level 2, Phase 2, South Horizons, Ap Lei Chau, Hong Kong",25808633,25808699,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,10949,0,0,AM & PM Sessions,,0,0,118,CW/S/I
GAINLINK ENTERPRISES LIMITED,Victoria International Nursery,"Portion of G/F and Lower G/F, Block R, 2-8 Hong On Street, Kornhill, Quarry Bay, Hong Kong",28853331,25672359,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9890,0,0,AM & PM Sessions,,0,0,91,E/W
GRAND SURPLUS ENTERPRISES LIMITED,Victoria Nursery (Harbour Heights),"2/F, 1,3 & 5 Fook Yum Road, Tower 1, Ko Fung Court, Harbour Heights, North Point, Hong Kong",25713456,25107456,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,5330,PM Session,,0,0,210,E/W
The Hongkong and Shanghai Banking Corporation Ltd.,Wayfoong Nursery School,"UG/F, Tower 3, HSBC Centre, 1 Sham Mong Road, Tai Kok Tsui, Kowloon",22884922,22694528,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4350,0,0,0,NIL,,0,136,0,KC/YTM
Earning Concept Limited,Wellcome International Nursery,"Portion of Shops D, E, F, G, Portion of Kindergarten & Nursery, G/F, The Sherwood, 8 Fuk Hang Tsuen Road, Lam Tei, Tuen Mun, New Territories",28132121,28130020,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9086,5453,0,0,AM & PM Sessions,,0,46,94,TM
CHRISTIAN ADRIANNE EDUCATIONAL ORGANISATION LIMITED,WISE LE SAGE INTERNATIONAL PRESCHOOL,"Portion of The Whole of Mezzanine floor of Galaxy Plaza, No. 2 Mong Lung Street, Shau Kei Wan, Hong Kong",39984088,35687786,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5472,3800,0,0,AM & PM Sessions,,0,20,22,E/W
"LUK CHIU, Kwan Hung Angela",Wisely Nursery,"G/F and 1/F, 129-133 Caine Road, Central, Hong Kong",25462022,28579540,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8975,6279,0,0,AM & PM Sessions,,0,39,69,CW/S/I
WOO Wing Fai,Witty International Play School,"Part of Upper Ground Floor, Joyful Building, 16-18 Belcher's Street, Hong Kong",28178132,28178098,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8749,6100,0,0,AM & PM Sessions,,0,14,42,CW/S/I
Woodland Pre-Schools Limited,Guidepost Montessori International Pre-School (Happy Valley Hawthorn Road),"G/F, 2 Hawthorn Road, Happy Valley, Hong Kong",25750042,25910089,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9810,12670,0,AM & PM Sessions,,0,0,65,E/W
WOODLAND PRE-SCHOOLS LIMITED,The Woodland Beachside Pre-school,"Portion of Shops A2–H, 2/F, 35 Beach Road, Repulse Bay, Hong Kong",28120274,25597162,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,12500,0,0,AM & PM Sessions,,0,0,45,CW/S/I
Woodland Pre-Schools Limited,The Woodland Montessori Pre-School (Caine Road),"1/F-2/F, On Fung Building, 110-118 Caine Road, Hong Kong",25491211,25499011,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6610,0,2990,AM & PM Sessions,,0,0,120,CW/S/I
Yan Oi Tong Limited,Yan Oi Tong Dan Yang Wing Man Nursery,"G/F, Choi Kwai House, Choi Ming Court, Tseung Kwan O, New Territories",27060827,27061800,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3632,0,0,AM & PM Sessions,,0,0,28,WTS/SK
"CHAN, Po King Betty",Yew Chung Children's House (Somerset Road),"20 Somerset Road, Kowloon Tong, Kowloon",23368255,23368258,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,19490,11774,0,0,AM & PM Sessions,,0,191,191,KC/YTM
"CHAN, Po King Betty",Yew Chung International Children's House (Kent Road),"G/F & 1/F, 29 Kent Road, Kowloon Tong, Kowloon.",23378258,23378616,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,19490,11774,0,0,AM & PM Sessions,,0,130,130,KC/YTM
"CHAN, Po King Betty",Yew Chung International Children's House,"Ground Floor, No. 151-153 Waterloo Road, Kowloon Tong, Kowloon",23374240,23046607,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,19490,11774,0,0,AM & PM Sessions,,0,104,24,KC/YTM
Yew Chung Education Foundation Limited,Yew Chung International School – Child Care Center (Tseung Kwan O),"Shop G10-13, G/F, Shop 115-118, 119-123 & 125, 1/F, Savannah Place, 3 Chi Shin Street, Tseung Kwan O, New Territories",37584112,37584113,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,19490,11774,0,0,AM & PM Sessions,,0,20,20,WTS/SK
TAM Shuk Yin Anny,York International Child Care Centre,"Part of G/F, No. 10 York Road, Kowloon Tong, Kowloon",23361119,23375924,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5728,0,0,AM & PM Sessions,,0,0,85,KC/YTM
Big Sound Limited,York International Playschool,"1/F (Portion) & 2/F (Portion), Tsui King Court, 18 Water Street, Hong Kong",23687038,23687608,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9075,0,0,AM & PM Sessions,,0,0,163,CW/S/I
New Classic Limited,York International Pre-School,"G/F (Portion) and 1/F (Portion), No. 14 Stafford Road, Kowloon Tong, Kowloon",23378083,23390728,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8500,0,0,AM & PM Sessions,,0,0,79,KC/YTM
Lucky Group International Limited,York Montessori International Playschool (Mei Foo),"Portion of G/F & Portion of Podium Floor, 1-12, 14-25, 27, 29 and 31 Broadway Street, Phase 1, Mei Foo Sun Chuen, Kowloon",23380680,23389382,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,9075,0,0,AM & PM Sessions,,0,0,260,SSP
Sunny Wise Limited,York Montessori International Playschool (Tseung Kwan O),"Portion of G/F and Portion of 1st Floor, Kindergarten/Commercial Block, On Ning Garden, 10 Sheung Ning Road, Tseung Kwan O, New Territories",36898779,23382265,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6350,0,0,AM & PM Sessions,,0,0,136,WTS/SK
Easy Express Limited,York International Playschool (Tuen Mun),"Portion of Kindergarten Premises, Le Pont, No. 99 So Kwan Wat Road, Tuen Mun, New Territories",26380363,26380362,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8500,0,0,AM & PM Sessions,,0,0,147,TM
Kind Focus Limited,York Montessori International Playschool (Yuen Long),"Part of Kindergarten Premises, G/F, Commercial Accommodation, No. 18 Castle Peak Road Tam Mi, Kam Tin, Yuen Long, NT",23689738,23689498,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8500,0,0,AM & PM Sessions,,0,0,174,YL
The Yuen Yuen Institute,Yuen Yuen Child Care Centre (Ping Tin Estate),"G/F (Portion), Ping Sin House, Ping Tin Estate, Lam Tin, Kowloon",22437116,21776722,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3340,0,0,AM & PM Sessions,,0,0,51,KT
The Yuen Yuen Institute,Yuen Yuen Child Care Centre (Tin Yat Estate),"G/F(Portion), Carpark Block, Tin Yat Estate, Tin Shui Wai, New Territories",21463111,21463133,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3400,0,0,AM & PM Sessions,,0,0,24,YL
ENGLISH INTERNATIONAL SCHOOL LIMITED,ZEBEDEE INTERNATIONAL NURSERY,"Wing A & B, G/F, Yat Wing House, Yat Nga Court, Nam Wan Road, Tai Po, New Territories",26503339,26504449,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4800,0,0,AM & PM Sessions,,0,0,28,TP/N
Ms LI Siu Ping,Zenith International Nursery (Kennedy Town),"Shop 1 on Ground Floor and Portion of 1st Floor, Yick Fung Garden, No. 20 Praya Kennedy Town, Hong Kong",21528112,21528912,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9700,6800,0,0,NIL,,0,42,78,CW/S/I
LI Siu Ping,ZENITH International Nursery (Kowloon Tong),"Part of No. 6, Kent Road, Kowloon Tong, Kowloon",23373818,23373323,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10300,7200,0,0,AM & PM Sessions,,0,22,30,KC/YTM
Ms Li Siu Ping,ZENITH International Nursery (Shatin),"Part of G/F, The Riverpark, 8 Che Kung Miu Road, Shatin, New Territories",22426838,22426998,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11273,6700,0,0,AM & PM Sessions,,0,20,71,ST
Ms LI Siu-ping,ZENITH International Nursery (Sherwood),"Portion of G/F, Sherwood Court, Kingswood Villas, Lot No. TSWTL 2 RP, Tin Shui Wai, Yuen Long, New Territories",26901828,26901028,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9644,6200,0,0,AM & PM Sessions,,0,56,70,YL
"LI, Siu Ping",Zenith International Nursery (Tai Po),"G/F Entrance, Shop 10 & Portion of Shop 11 on 1/F, La Fontaine, 6 Chui Lok Street, Tai  Po, New Territories",26633311,26633919,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10043,6800,0,0,AM & PM Sessions,,0,84,86,TP/N
Ms LI Siu-ping,Zenith International Nursery (Tseung Kwan O),"Portion of Shop 7 on G/F and Portion of 1/F, Twin Peaks, 9 Chi Shin Street, Tseung Kwan O, N.T.",22140068,22140628,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10566,7500,0,0,AM & PM Sessions,,0,50,118,WTS/SK
