Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
2009-2010,All,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,60 and over,All,Complete Tooth Loss,15.3,16.0,11.6,19.5,,,,,
2009-2010,Male,60 and over,All,Complete Tooth Loss,14.2,16.0,10.4,18.8,,,,,
2009-2010,Female,60 and over,All,Complete Tooth Loss,16.1,16.0,12.2,20.8,,,,,
2009-2010,All,60-69,All,Complete Tooth Loss,10.6,16.0,6.8,15.6,,,,,
2009-2010,Male,60-69,All,Complete Tooth Loss,10.1,16.0,6.3,15.2,,,,,
2009-2010,Female,60-69,All,Complete Tooth Loss,11.1,16.0,6.5,17.2,,,,,
2009-2010,All,70 and over,All,Complete Tooth Loss,20.8,16.0,15.6,26.7,,,,,
2009-2010,Male,70 and over,All,Complete Tooth Loss,19.7,16.0,13.8,26.8,,,,,
2009-2010,Female,70 and over,All,Complete Tooth Loss,21.6,16.0,15.9,28.2,,,,,
2009-2010,All,60 and over,Non-Hispanic White,Complete Tooth Loss,15.3,16.0,11.3,20.1,,,,,
2009-2010,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,18.0,13.0,11.1,26.9,,,,,
2009-2010,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,60 and over,Hispanic,Complete Tooth Loss,12.7,15.0,7.2,20.3,,,,,
2009-2010,All,60 and over,Mexican American,Complete Tooth Loss,9.2,9.0,3.6,18.5,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2009-2010,All,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2009-2010,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2009-2010,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2011-2012,All,2-11,All,Total Dental Caries in Primary Teeth,39.7,1.9,35.6,43.9,,,,,
2011-2012,Male,2-11,All,Total Dental Caries in Primary Teeth,43.2,2.2,38.4,48.0,,,,,
2011-2012,Female,2-11,All,Total Dental Caries in Primary Teeth,35.9,2.8,29.9,42.2,,,,,
2011-2012,All,2-5,All,Total Dental Caries in Primary Teeth,22.7,2.1,18.4,27.5,,,,,
2011-2012,Male,2-5,All,Total Dental Caries in Primary Teeth,23.8,2.3,19.0,29.0,,,,,
2011-2012,Female,2-5,All,Total Dental Caries in Primary Teeth,21.6,3.1,15.4,28.9,,,,,
2011-2012,All,6-11,All,Total Dental Caries in Primary Teeth,53.2,2.3,48.2,58.1,,,,,
2011-2012,Male,6-11,All,Total Dental Caries in Primary Teeth,57.6,3.3,50.2,64.7,,,,,
2011-2012,Female,6-11,All,Total Dental Caries in Primary Teeth,48.0,3.7,40.1,56.0,,,,,
2011-2012,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,33.4,3.1,26.6,40.6,,,,,
2011-2012,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,46.0,2.8,39.9,52.2,,,,,
2011-2012,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,40.1,3.4,32.8,47.6,,,,,
2011-2012,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,49.7,2.6,44.1,55.3,,,,,
2011-2012,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,53.9,2.9,47.4,60.2,,,,,
2011-2012,All,6-19,All,Total Dental Caries in Permanent Teeth,42.9,1.7,39.3,46.6,,,,,
2011-2012,Male,6-19,All,Total Dental Caries in Permanent Teeth,43.6,2.4,38.4,48.9,,,,,
2011-2012,Female,6-19,All,Total Dental Caries in Permanent Teeth,42.2,2.1,37.7,46.9,,,,,
2011-2012,All,6-11,All,Total Dental Caries in Permanent Teeth,21.3,1.6,17.9,25.0,,,,,
2011-2012,Male,6-11,All,Total Dental Caries in Permanent Teeth,19.5,1.8,15.8,23.6,,,,,
2011-2012,Female,6-11,All,Total Dental Caries in Permanent Teeth,23.1,3.2,16.7,30.7,,,,,
2011-2012,All,12-19,All,Total Dental Caries in Permanent Teeth,58.2,2.4,53.0,63.2,,,,,
2011-2012,Male,12-19,All,Total Dental Caries in Permanent Teeth,60.3,3.3,52.9,67.4,,,,,
2011-2012,Female,12-19,All,Total Dental Caries in Permanent Teeth,55.9,2.7,50.0,61.7,,,,,
2011-2012,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,40.7,2.6,35.1,46.5,,,,,
2011-2012,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,45.0,2.5,39.8,50.4,,,,,
2011-2012,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,42.0,2.3,36.2,47.9,,,,,
2011-2012,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,45.8,2.5,40.5,51.2,,,,,
2011-2012,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,50.1,2.6,44.2,56.0,,,,,
2011-2012,All,20-69,All,Total Dental Caries in Permanent Teeth,91.7,0.9,89.6,93.5,,,,,
2011-2012,Male,20-69,All,Total Dental Caries in Permanent Teeth,90.5,0.9,88.5,92.3,,,,,
2011-2012,Female,20-69,All,Total Dental Caries in Permanent Teeth,92.8,1.1,90.1,94.9,,,,,
2011-2012,All,20-29,All,Total Dental Caries in Permanent Teeth,80.5,1.9,76.2,84.3,,,,,
2011-2012,Male,20-29,All,Total Dental Caries in Permanent Teeth,78.0,2.5,72.2,83.1,,,,,
2011-2012,Female,20-29,All,Total Dental Caries in Permanent Teeth,83.0,2.6,76.8,88.2,,,,,
2011-2012,All,30-39,All,Total Dental Caries in Permanent Teeth,88.5,1.7,84.5,91.8,,,,,
2011-2012,Male,30-39,All,Total Dental Caries in Permanent Teeth,91.8,1.8,87.2,95.1,,,,,
2011-2012,Female,30-39,All,Total Dental Caries in Permanent Teeth,85.1,1.9,80.6,88.8,,,,,
2011-2012,All,40-49,All,Total Dental Caries in Permanent Teeth,94.5,1.3,91.1,96.9,,,,,
2011-2012,Male,40-49,All,Total Dental Caries in Permanent Teeth,95.8,1.3,92.2,98.1,,,,,
2011-2012,Female,40-49,All,Total Dental Caries in Permanent Teeth,93.2,1.4,89.6,95.8,,,,,
2011-2012,All,50-59,All,Total Dental Caries in Permanent Teeth,97.7,0.5,96.3,98.6,,,,,
2011-2012,Male,50-59,All,Total Dental Caries in Permanent Teeth,97.6,0.4,95.4,98.9,,,,,
2011-2012,Female,50-59,All,Total Dental Caries in Permanent Teeth,97.8,0.7,95.6,99.1,,,,,
2011-2012,All,60-69,All,Total Dental Caries in Permanent Teeth,96.8,0.7,94.8,98.1,,,,,
2011-2012,Male,60-69,All,Total Dental Caries in Permanent Teeth,96.0,1.2,92.6,98.1,,,,,
2011-2012,Female,60-69,All,Total Dental Caries in Permanent Teeth,97.5,0.7,95.2,98.9,,,,,
2011-2012,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,94.5,1.8,93.1,95.7,,,,,
2011-2012,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,86.1,4.7,82.4,89.2,,,,,
2011-2012,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,85.7,2.2,80.3,90.1,,,,,
2011-2012,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,85.5,3.0,82.1,88.5,,,,,
2011-2012,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,83.3,1.2,79.6,86.6,,,,,
2011-2012,All,60 and over,All,Complete Tooth Loss,14.4,17.0,11.6,17.5,,,,,
2011-2012,Male,60 and over,All,Complete Tooth Loss,13.7,17.0,10.5,17.3,,,,,
2011-2012,Female,60 and over,All,Complete Tooth Loss,15.0,17.0,12.0,18.4,,,,,
2011-2012,All,60-69,All,Complete Tooth Loss,7.3,17.0,5.6,9.4,,,,,
2011-2012,Male,60-69,All,Complete Tooth Loss,6.3,17.0,3.8,9.7,,,,,
2011-2012,Female,60-69,All,Complete Tooth Loss,8.3,17.0,5.7,11.6,,,,,
2011-2012,All,70 and over,All,Complete Tooth Loss,22.1,17.0,16.9,27.9,,,,,
2011-2012,Male,70 and over,All,Complete Tooth Loss,22.8,17.0,16.7,29.8,,,,,
2011-2012,Female,70 and over,All,Complete Tooth Loss,21.5,17.0,15.9,28.1,,,,,
2011-2012,All,60 and over,Non-Hispanic White,Complete Tooth Loss,13.1,17.0,9.2,17.9,,,,,
2011-2012,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,22.2,15.0,16.7,28.5,,,,,
2011-2012,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,19.7,13.0,13.7,26.9,,,,,
2011-2012,All,60 and over,Hispanic,Complete Tooth Loss,12.0,15.0,8.5,16.4,,,,,
2011-2012,All,60 and over,Mexican American,Complete Tooth Loss,8.6,6.0,2.7,19.3,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2011-2012,All,2-11,All,Untreated Dental Caries in Primary Teeth,15.2,1.6,11.9,18.9,,,,,
2011-2012,Male,2-11,All,Untreated Dental Caries in Primary Teeth,16.7,1.9,12.8,21.2,,,,,
2011-2012,Female,2-11,All,Untreated Dental Caries in Primary Teeth,13.5,1.6,10.3,17.2,,,,,
2011-2012,All,2-5,All,Untreated Dental Caries in Primary Teeth,10.0,1.4,7.2,13.5,,,,,
2011-2012,Male,2-5,All,Untreated Dental Caries in Primary Teeth,10.9,1.7,7.5,15.2,,,,,
2011-2012,Female,2-5,All,Untreated Dental Caries in Primary Teeth,9.2,1.6,6.0,13.2,,,,,
2011-2012,All,6-11,All,Untreated Dental Caries in Primary Teeth,19.2,2.1,15.0,24.1,,,,,
2011-2012,Male,6-11,All,Untreated Dental Caries in Primary Teeth,20.9,2.6,15.6,27.0,,,,,
2011-2012,Female,6-11,All,Untreated Dental Caries in Primary Teeth,17.2,2.3,12.7,22.5,,,,,
2011-2012,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,11.1,1.6,7.9,15.1,,,,,
2011-2012,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,21.9,2.9,15.9,29.0,,,,,
2011-2012,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,14.2,3.0,8.4,22.0,,,,,
